player_name,season,team_from,team_to,actual_delta,predicted_delta,error,shift_magnitude,model,target
Jimmy Butler,2024-25,MIA,GSW,0.8933,-7.761376082487415,8.654676082487416,2.2565716018530404,ridge,delta_pts
Gordon Hayward,2023-24,CHA,OKC,-9.1723,-2.841448834505632,6.3308511654943675,3.326204885757047,ridge,delta_pts
De'Andre Hunter,2024-25,ATL,CLE,-4.6767,-9.172591143614486,4.495891143614486,1.9859437618212707,ridge,delta_pts
Luka Doncic,2024-25,DAL,LAL,0.0422,-4.127713664685006,4.169913664685006,1.3772872944323893,ridge,delta_pts
Buddy Hield,2023-24,IND,PHI,0.2067,-3.6028728939978345,3.8095728939978346,3.394992299405422,ridge,delta_pts
Pascal Siakam,2023-24,TOR,IND,-0.9112,-4.691919476227171,3.780719476227171,2.1520938627949158,ridge,delta_pts
Dorian Finney-Smith,2024-25,BKN,LAL,-2.4698,0.732267601328721,3.2020676013287215,1.836701258968936,ridge,delta_pts
P.J. Washington,2023-24,CHA,DAL,-1.9467,1.096169084055689,3.042869084055689,2.161782299106557,ridge,delta_pts
Zach LaVine,2024-25,CHI,SAC,-1.2665,-3.8878898407127798,2.62138984071278,2.3025270552549952,ridge,delta_pts
Dennis Schroder,2024-25,BKN,GSW,-7.8514,-6.3974720367692095,1.4539279632307904,2.120299510263175,ridge,delta_pts
Gordon Hayward,2023-24,CHA,OKC,-9.1723,-0.495672234845661,8.67662776515434,3.326204885757047,histgb,delta_pts
Dennis Schroder,2024-25,BKN,GSW,-7.8514,-2.4723038126169286,5.379096187383071,2.120299510263175,histgb,delta_pts
P.J. Washington,2023-24,CHA,DAL,-1.9467,2.86572642048275,4.81242642048275,2.161782299106557,histgb,delta_pts
Buddy Hield,2023-24,IND,PHI,0.2067,2.41153614500767,2.20483614500767,3.394992299405422,histgb,delta_pts
Daniel Gafford,2023-24,WAS,DAL,0.2835,2.3852077254038178,2.1017077254038177,1.8612611848286835,histgb,delta_pts
Dorian Finney-Smith,2024-25,BKN,LAL,-2.4698,-0.3891962633786356,2.0806037366213648,1.836701258968936,histgb,delta_pts
Luka Doncic,2024-25,DAL,LAL,0.0422,-1.7864002131616363,1.8286002131616363,1.3772872944323893,histgb,delta_pts
Pascal Siakam,2023-24,TOR,IND,-0.9112,-2.0087994669720284,1.0975994669720284,2.1520938627949158,histgb,delta_pts
OG Anunoby,2023-24,TOR,NYK,-0.9807,0.03938479116599865,1.0200847911659987,2.6336816014136404,histgb,delta_pts
Jimmy Butler,2024-25,MIA,GSW,0.8933,0.0038721399751360935,0.8894278600248638,2.2565716018530404,histgb,delta_pts
De'Andre Hunter,2024-25,ATL,CLE,0.0178,-0.11645685136800406,0.13425685136800405,1.9859437618212707,ridge,delta_ts_pct
Daniel Gafford,2023-24,WAS,DAL,0.0617,-0.06138404244671133,0.12308404244671133,1.8612611848286835,ridge,delta_ts_pct
P.J. Washington,2023-24,CHA,DAL,-0.0227,0.06857462032371539,0.09127462032371539,2.161782299106557,ridge,delta_ts_pct
Jimmy Butler,2024-25,MIA,GSW,-0.0205,-0.10680954402117446,0.08630954402117445,2.2565716018530404,ridge,delta_ts_pct
Dennis Schroder,2024-25,GSW,DET,0.0413,-0.008823864138709487,0.05012386413870949,2.238376103453066,ridge,delta_ts_pct
Luka Doncic,2024-25,DAL,LAL,0.0064,-0.03665023757086148,0.04305023757086148,1.3772872944323893,ridge,delta_ts_pct
Pascal Siakam,2023-24,TOR,IND,0.0023,-0.03775050030127404,0.040050500301274036,2.1520938627949158,ridge,delta_ts_pct
Dennis Schroder,2024-25,BKN,GSW,-0.1142,-0.07490869448601704,0.03929130551398295,2.120299510263175,ridge,delta_ts_pct
Gordon Hayward,2023-24,CHA,OKC,0.0161,-0.009926192067293364,0.026026192067293362,3.326204885757047,ridge,delta_ts_pct
Zach LaVine,2024-25,CHI,SAC,0.0114,-0.011636741632589894,0.023036741632589897,2.3025270552549952,ridge,delta_ts_pct
Dennis Schroder,2024-25,BKN,GSW,-0.1142,0.00452025534479308,0.11872025534479308,2.120299510263175,histgb,delta_ts_pct
P.J. Washington,2023-24,CHA,DAL,-0.0227,0.08243825105810158,0.10513825105810158,2.161782299106557,histgb,delta_ts_pct
Buddy Hield,2023-24,IND,PHI,-0.0199,0.013332978395496176,0.033232978395496174,3.394992299405422,histgb,delta_ts_pct
Dennis Schroder,2024-25,GSW,DET,0.0413,0.008668543800489882,0.03263145619951012,2.238376103453066,histgb,delta_ts_pct
De'Andre Hunter,2024-25,ATL,CLE,0.0178,-0.014014535081436233,0.03181453508143623,1.9859437618212707,histgb,delta_ts_pct
Gordon Hayward,2023-24,CHA,OKC,0.0161,0.041663479332066024,0.025563479332066024,3.326204885757047,histgb,delta_ts_pct
Jimmy Butler,2024-25,MIA,GSW,-0.0205,0.0034446396036004654,0.023944639603600465,2.2565716018530404,histgb,delta_ts_pct
Dorian Finney-Smith,2024-25,BKN,LAL,-0.0156,0.005930631042561415,0.021530631042561414,1.836701258968936,histgb,delta_ts_pct
Luka Doncic,2024-25,DAL,LAL,0.0064,-0.012980764033196382,0.01938076403319638,1.3772872944323893,histgb,delta_ts_pct
Zach LaVine,2024-25,CHI,SAC,0.0114,-0.0077304372002983245,0.019130437200298327,2.3025270552549952,histgb,delta_ts_pct
Dorian Finney-Smith,2024-25,BKN,LAL,-16.7546,23.223098703898923,39.97769870389892,1.836701258968936,ridge,delta_usg_rate
Luka Doncic,2024-25,DAL,LAL,6.1368,-32.107638967721144,38.244438967721145,1.3772872944323893,ridge,delta_usg_rate
Daniel Gafford,2023-24,WAS,DAL,14.7561,52.13793768941264,37.381837689412635,1.8612611848286835,ridge,delta_usg_rate
P.J. Washington,2023-24,CHA,DAL,-26.882,8.332598674638447,35.21459867463845,2.161782299106557,ridge,delta_usg_rate
Gordon Hayward,2023-24,CHA,OKC,-44.7368,-16.61337734966098,28.123422650339023,3.326204885757047,ridge,delta_usg_rate
Jimmy Butler,2024-25,MIA,GSW,0.3876,-19.19019076224816,19.57779076224816,2.2565716018530404,ridge,delta_usg_rate
Pascal Siakam,2023-24,TOR,IND,-1.7585,-19.00469254343475,17.24619254343475,2.1520938627949158,ridge,delta_usg_rate
Buddy Hield,2023-24,IND,PHI,9.479,-3.564108504857934,13.043108504857933,3.394992299405422,ridge,delta_usg_rate
Dennis Schroder,2024-25,BKN,GSW,-14.0297,-25.292159112754998,11.262459112754998,2.120299510263175,ridge,delta_usg_rate
De'Andre Hunter,2024-25,ATL,CLE,-21.8706,-29.19914322356232,7.3285432235623205,1.9859437618212707,ridge,delta_usg_rate
Gordon Hayward,2023-24,CHA,OKC,-44.7368,-6.753792506055523,37.98300749394448,3.326204885757047,histgb,delta_usg_rate
P.J. Washington,2023-24,CHA,DAL,-26.882,-2.6551882069352257,24.226811793064776,2.161782299106557,histgb,delta_usg_rate
Pascal Siakam,2023-24,TOR,IND,-1.7585,-18.231242908544154,16.472742908544152,2.1520938627949158,histgb,delta_usg_rate
Luka Doncic,2024-25,DAL,LAL,6.1368,-8.55897477207385,14.69577477207385,1.3772872944323893,histgb,delta_usg_rate
Dennis Schroder,2024-25,BKN,GSW,-14.0297,-27.157173772722263,13.127473772722263,2.120299510263175,histgb,delta_usg_rate
Dorian Finney-Smith,2024-25,BKN,LAL,-16.7546,-5.491196576302839,11.263403423697161,1.836701258968936,histgb,delta_usg_rate
De'Andre Hunter,2024-25,ATL,CLE,-21.8706,-31.383814095445693,9.513214095445694,1.9859437618212707,histgb,delta_usg_rate
Dennis Schroder,2024-25,GSW,DET,-9.7309,-1.838704299708705,7.892195700291295,2.238376103453066,histgb,delta_usg_rate
OG Anunoby,2023-24,TOR,NYK,-4.8661,2.3778866253238844,7.243986625323885,2.6336816014136404,histgb,delta_usg_rate
Zach LaVine,2024-25,CHI,SAC,-13.2841,-19.081843580980635,5.797743580980635,2.3025270552549952,histgb,delta_usg_rate
